,t_12,t_23,bank_id,s_id,r_first,r_second,all_0,all_1,random
0,60,2,0,0,496,502,1.0,1.0,1.0
0,60,2,1,0,496,502,1.0,1.0,1.0
0,60,2,2,0,496,502,1.0,1.0,1.0
0,60,2,3,0,496,502,1.0,1.0,1.0
0,60,3,0,0,496,502,1.0,1.0,1.0
0,60,3,1,0,496,502,1.0,1.0,1.0
0,60,3,2,0,496,502,1.0,1.0,1.0
0,60,3,3,0,496,502,1.0,1.0,1.0
0,60,4,0,0,496,502,1.0,1.0,1.0
0,60,4,1,0,496,502,1.0,1.0,1.0
0,60,4,2,0,496,502,1.0,1.0,1.0
0,60,4,3,0,496,502,1.0,1.0,1.0
0,60,5,0,0,496,502,0.5,0.5,0.5
0,60,5,1,0,496,502,0.5,0.5,0.5
0,60,5,2,0,496,502,0.625012,0.625,0.625
0,60,5,3,0,496,502,0.5,0.5,0.5
0,60,6,0,0,496,502,0.5,0.5,0.5
0,60,6,1,0,496,502,0.5,0.5,0.5
0,60,6,2,0,496,502,0.5,0.5,0.5
0,60,6,3,0,496,502,0.5,0.5,0.5
0,0,0,0,0,284,285,0.5,0.5,0.5
0,0,0,1,0,284,285,0.5,0.5,0.625
0,0,0,2,0,284,285,0.5,0.5,0.5
0,0,0,3,0,284,285,0.5,0.5,0.5
0,0,1,0,0,284,285,0.5,0.5,0.5
0,0,1,1,0,284,285,0.5,0.5,0.5
0,0,1,2,0,284,285,0.5,0.5,0.5
0,0,1,3,0,284,285,0.5,0.5,0.5
0,0,2,0,0,284,285,0.5,0.5,0.5
0,0,2,1,0,284,285,0.5,0.5,0.5
0,0,2,2,0,284,285,0.5,0.5,0.5
0,0,2,3,0,284,285,0.5,0.5,0.5
0,0,3,0,0,284,285,0.5,0.5,0.5
0,0,3,1,0,284,285,0.5,0.5,0.5
0,0,3,2,0,284,285,0.5,0.5,0.5
0,0,3,3,0,284,285,0.5,0.5,0.5
0,0,4,0,0,284,285,0.5,0.5,0.5
0,0,4,1,0,284,285,0.5,0.5,0.5
0,0,4,2,0,284,285,0.5,0.5,0.5
0,0,4,3,0,284,285,0.5,0.5,0.5
0,0,5,0,0,284,285,0.5,0.5,0.5
0,0,5,1,0,284,285,0.5,0.5,0.5
0,0,5,2,0,284,285,0.5,0.5,0.5
0,0,5,3,0,284,285,0.5,0.5,0.5
0,0,6,0,0,284,285,0.5,0.5,0.5
0,0,6,1,0,284,285,0.5,0.5,0.5
0,0,6,2,0,284,285,0.5,0.5,0.5
0,0,6,3,0,284,285,0.5,0.5,0.5
0,10,0,0,0,284,285,1.0,1.0,1.0
0,10,0,1,0,284,285,1.0,1.0,1.0
0,10,0,2,0,284,285,1.0,1.0,1.0
0,10,0,3,0,284,285,1.0,1.0,1.0
0,10,1,0,0,284,285,1.0,1.0,1.0
0,10,1,1,0,284,285,1.0,1.0,1.0
0,10,1,2,0,284,285,1.0,1.0,1.0
0,10,1,3,0,284,285,1.0,1.0,1.0
0,10,2,0,0,284,285,1.0,1.0,1.0
0,10,2,1,0,284,285,1.0,1.0,1.0
0,10,2,2,0,284,285,1.0,1.0,1.0
0,10,2,3,0,284,285,1.0,1.0,1.0
0,10,3,0,0,284,285,1.0,1.0,1.0
0,10,3,1,0,284,285,1.0,1.0,1.0
0,10,3,2,0,284,285,1.0,1.0,1.0
0,10,3,3,0,284,285,1.0,1.0,1.0
0,10,4,0,0,284,285,1.0,1.0,1.0
0,10,4,1,0,284,285,1.0,1.0,1.0
0,10,4,2,0,284,285,1.0,1.0,1.0
0,10,4,3,0,284,285,1.0,1.0,1.0
0,10,5,0,0,284,285,0.5,0.5,0.5
0,10,5,1,0,284,285,0.5,0.5,0.5
0,10,5,2,0,284,285,0.625,0.624852,0.62379
0,10,5,3,0,284,285,0.5,0.5,0.5
0,10,6,0,0,284,285,0.5,0.5,0.5
0,10,6,1,0,284,285,0.5,0.5,0.5
0,10,6,2,0,284,285,0.5,0.5,0.5
0,10,6,3,0,284,285,0.5,0.5,0.5
0,20,0,0,0,284,285,1.0,1.0,1.0
0,20,0,1,0,284,285,1.0,1.0,1.0
0,20,0,2,0,284,285,1.0,1.0,1.0
0,20,0,3,0,284,285,1.0,1.0,1.0
0,20,1,0,0,284,285,1.0,1.0,1.0
0,20,1,1,0,284,285,1.0,1.0,1.0
0,20,1,2,0,284,285,1.0,1.0,1.0
0,20,1,3,0,284,285,1.0,1.0,1.0
0,20,2,0,0,284,285,1.0,1.0,1.0
0,20,2,1,0,284,285,1.0,1.0,1.0
0,20,2,2,0,284,285,1.0,1.0,1.0
0,20,2,3,0,284,285,1.0,1.0,1.0
0,20,3,0,0,284,285,1.0,1.0,1.0
0,20,3,1,0,284,285,1.0,1.0,1.0
0,20,3,2,0,284,285,1.0,1.0,1.0
0,20,3,3,0,284,285,1.0,1.0,1.0
0,20,4,0,0,284,285,1.0,1.0,1.0
0,20,4,1,0,284,285,1.0,1.0,1.0
0,20,4,2,0,284,285,1.0,1.0,1.0
0,20,4,3,0,284,285,1.0,1.0,1.0
0,20,5,0,0,284,285,0.5,0.5,0.5
0,20,5,1,0,284,285,0.5,0.5,0.5
0,20,5,2,0,284,285,0.625,0.625,0.71875
0,20,5,3,0,284,285,0.5,0.5,0.5
0,20,6,0,0,284,285,0.5,0.5,0.5
0,20,6,1,0,284,285,0.5,0.5,0.5
0,20,6,2,0,284,285,0.5,0.5,0.5
0,20,6,3,0,284,285,0.5,0.5,0.5
0,30,0,0,0,284,285,1.0,1.0,1.0
0,30,0,1,0,284,285,1.0,1.0,1.0
0,30,0,2,0,284,285,1.0,1.0,1.0
0,30,0,3,0,284,285,1.0,1.0,1.0
0,30,1,0,0,284,285,1.0,1.0,1.0
0,30,1,1,0,284,285,1.0,1.0,1.0
0,30,1,2,0,284,285,1.0,1.0,1.0
0,30,1,3,0,284,285,1.0,1.0,1.0
0,30,2,0,0,284,285,1.0,1.0,1.0
0,30,2,1,0,284,285,1.0,1.0,1.0
0,30,2,2,0,284,285,1.0,1.0,1.0
0,30,2,3,0,284,285,1.0,1.0,1.0
0,30,3,0,0,284,285,1.0,1.0,1.0
0,30,3,1,0,284,285,1.0,1.0,1.0
0,30,3,2,0,284,285,1.0,1.0,1.0
0,30,3,3,0,284,285,1.0,1.0,1.0
0,30,4,0,0,284,285,1.0,1.0,1.0
0,30,4,1,0,284,285,1.0,1.0,1.0
0,30,4,2,0,284,285,1.0,1.0,1.0
0,30,4,3,0,284,285,1.0,1.0,1.0
0,30,5,0,0,284,285,0.5,0.5,0.5
0,30,5,1,0,284,285,0.5,0.5,0.5
0,30,5,2,0,284,285,0.625,0.625,0.625
0,30,5,3,0,284,285,0.5,0.625,0.5
0,30,6,0,0,284,285,0.5,0.5,0.5
0,30,6,1,0,284,285,0.5,0.5,0.5
0,30,6,2,0,284,285,0.5,0.5,0.5
0,30,6,3,0,284,285,0.5,0.5,0.5
0,40,0,0,0,284,285,1.0,1.0,1.0
0,40,0,1,0,284,285,1.0,1.0,1.0
0,40,0,2,0,284,285,1.0,1.0,1.0
0,40,0,3,0,284,285,1.0,1.0,1.0
0,40,1,0,0,284,285,1.0,1.0,1.0
0,40,1,1,0,284,285,1.0,1.0,1.0
0,40,1,2,0,284,285,1.0,1.0,1.0
0,40,1,3,0,284,285,1.0,1.0,1.0
0,40,2,0,0,284,285,1.0,1.0,1.0
0,40,2,1,0,284,285,1.0,1.0,1.0
0,40,2,2,0,284,285,1.0,1.0,1.0
0,40,2,3,0,284,285,1.0,1.0,1.0
0,40,3,0,0,284,285,1.0,1.0,1.0
0,40,3,1,0,284,285,1.0,1.0,1.0
0,40,3,2,0,284,285,1.0,1.0,1.0
0,40,3,3,0,284,285,1.0,1.0,1.0
0,40,4,0,0,284,285,1.0,1.0,1.0
0,40,4,1,0,284,285,1.0,1.0,1.0
0,40,4,2,0,284,285,1.0,1.0,1.0
0,40,4,3,0,284,285,1.0,1.0,1.0
0,40,5,0,0,284,285,0.5,0.5,0.5
0,40,5,1,0,284,285,0.5,0.5,0.5
0,40,5,2,0,284,285,0.625,0.625,0.625
0,40,5,3,0,284,285,0.5,0.5,0.5
0,40,6,0,0,284,285,0.5,0.5,0.5
0,40,6,1,0,284,285,0.5,0.5,0.5
0,40,6,2,0,284,285,0.5,0.5,0.5
0,40,6,3,0,284,285,0.5,0.5,0.5
0,50,0,0,0,284,285,1.0,1.0,1.0
0,50,0,1,0,284,285,1.0,1.0,1.0
0,50,0,2,0,284,285,1.0,1.0,1.0
0,50,0,3,0,284,285,1.0,1.0,1.0
0,50,1,0,0,284,285,1.0,1.0,1.0
0,50,1,1,0,284,285,1.0,1.0,1.0
0,50,1,2,0,284,285,1.0,1.0,1.0
0,50,1,3,0,284,285,1.0,1.0,1.0
0,50,2,0,0,284,285,1.0,1.0,1.0
0,50,2,1,0,284,285,1.0,1.0,1.0
0,50,2,2,0,284,285,1.0,1.0,1.0
0,50,2,3,0,284,285,1.0,1.0,1.0
0,50,3,0,0,284,285,1.0,1.0,1.0
0,50,3,1,0,284,285,1.0,1.0,1.0
0,50,3,2,0,284,285,1.0,1.0,1.0
0,50,3,3,0,284,285,1.0,1.0,1.0
0,50,4,0,0,284,285,1.0,1.0,1.0
0,50,4,1,0,284,285,1.0,1.0,1.0
0,50,4,2,0,284,285,1.0,1.0,1.0
0,50,4,3,0,284,285,1.0,1.0,1.0
0,50,5,0,0,284,285,0.5,0.5,0.5
0,50,5,1,0,284,285,0.5,0.5,0.625
0,50,5,2,0,284,285,0.625,0.625,0.625
0,50,5,3,0,284,285,0.5,0.5,0.5
0,50,6,0,0,284,285,0.5,0.5,0.5
0,50,6,1,0,284,285,0.5,0.5,0.5
0,50,6,2,0,284,285,0.5,0.5,0.5
0,50,6,3,0,284,285,0.5,0.5,0.5
0,60,0,0,0,284,285,1.0,1.0,1.0
0,60,0,1,0,284,285,1.0,1.0,1.0
0,60,0,2,0,284,285,1.0,1.0,1.0
0,60,0,3,0,284,285,1.0,1.0,1.0
0,60,1,0,0,284,285,1.0,1.0,1.0
0,60,1,1,0,284,285,1.0,1.0,1.0
0,60,1,2,0,284,285,1.0,1.0,1.0
0,60,1,3,0,284,285,1.0,1.0,1.0
0,60,2,0,0,284,285,1.0,1.0,1.0
0,60,2,1,0,284,285,1.0,1.0,1.0
0,60,2,2,0,284,285,1.0,1.0,1.0
0,60,2,3,0,284,285,1.0,1.0,1.0
0,60,3,0,0,284,285,1.0,1.0,1.0
0,60,3,1,0,284,285,1.0,1.0,1.0
0,60,3,2,0,284,285,1.0,1.0,1.0
0,60,3,3,0,284,285,1.0,1.0,1.0
0,60,4,0,0,284,285,1.0,1.0,1.0
0,60,4,1,0,284,285,1.0,1.0,1.0
0,60,4,2,0,284,285,1.0,1.0,1.0
0,60,4,3,0,284,285,1.0,1.0,1.0
0,60,5,0,0,284,285,0.5,0.5,0.5
0,60,5,1,0,284,285,0.5,0.5,0.5
0,60,5,2,0,284,285,0.625,0.625,0.625
0,60,5,3,0,284,285,0.5,0.5,0.5
0,60,6,0,0,284,285,0.5,0.5,0.5
0,60,6,1,0,284,285,0.5,0.5,0.5
0,60,6,2,0,284,285,0.5,0.5,0.5
0,60,6,3,0,284,285,0.5,0.5,0.5
0,0,0,0,0,77,117,0.5,0.5,0.5
0,0,0,1,0,77,117,0.5,0.5,0.5
0,0,0,2,0,77,117,0.5,0.5,0.5
0,0,0,3,0,77,117,0.5,0.5,0.5
0,0,1,0,0,77,117,0.5,0.5,0.5
0,0,1,1,0,77,117,0.5,0.5,0.5
0,0,1,2,0,77,117,0.5,0.5,0.5
0,0,1,3,0,77,117,0.5,0.5,0.5
0,0,2,0,0,77,117,0.625,0.5,0.5
0,0,2,1,0,77,117,0.5,0.5,0.5
0,0,2,2,0,77,117,0.5,0.5,0.5
0,0,2,3,0,77,117,0.5,0.5,0.5
0,0,3,0,0,77,117,0.5,0.5,0.5
0,0,3,1,0,77,117,0.5,0.5,0.5
0,0,3,2,0,77,117,0.5,0.5,0.5
0,0,3,3,0,77,117,0.5,0.5,0.5
0,0,4,0,0,77,117,0.5,0.5,0.5
0,0,4,1,0,77,117,0.5,0.5,0.5
0,0,4,2,0,77,117,0.5,0.5,0.5
0,0,4,3,0,77,117,0.5,0.5,0.5
0,0,5,0,0,77,117,0.5,0.5,0.5
0,0,5,1,0,77,117,0.5,0.5,0.5
0,0,5,2,0,77,117,0.5,0.5,0.5
0,0,5,3,0,77,117,0.5,0.5,0.5
0,0,6,0,0,77,117,0.5,0.5,0.5
0,0,6,1,0,77,117,0.5,0.5,0.5
0,0,6,2,0,77,117,0.5,0.5,0.5
0,0,6,3,0,77,117,0.5,0.5,0.5
0,10,0,0,0,77,117,1.0,1.0,1.0
0,10,0,1,0,77,117,1.0,1.0,1.0
0,10,0,2,0,77,117,1.0,1.0,1.0
0,10,0,3,0,77,117,1.0,1.0,1.0
0,10,1,0,0,77,117,1.0,1.0,1.0
0,10,1,1,0,77,117,1.0,1.0,1.0
0,10,1,2,0,77,117,1.0,1.0,1.0
0,10,1,3,0,77,117,1.0,1.0,1.0
0,10,2,0,0,77,117,1.0,1.0,1.0
0,10,2,1,0,77,117,1.0,1.0,1.0
0,10,2,2,0,77,117,1.0,1.0,1.0
0,10,2,3,0,77,117,1.0,1.0,1.0
0,10,3,0,0,77,117,1.0,1.0,1.0
0,10,3,1,0,77,117,1.0,1.0,1.0
0,10,3,2,0,77,117,1.0,1.0,1.0
0,10,3,3,0,77,117,1.0,1.0,1.0
0,10,4,0,0,77,117,1.0,1.0,1.0
0,10,4,1,0,77,117,1.0,1.0,1.0
0,10,4,2,0,77,117,1.0,1.0,1.0
0,10,4,3,0,77,117,1.0,1.0,1.0
0,10,5,0,0,77,117,0.5,0.625,0.5
0,10,5,1,0,77,117,0.5,0.5,0.5
0,10,5,2,0,77,117,0.62491,0.624854,0.624709
0,10,5,3,0,77,117,0.5,0.5,0.5
0,10,6,0,0,77,117,0.5,0.5,0.5
0,10,6,1,0,77,117,0.5,0.5,0.5
0,10,6,2,0,77,117,0.5,0.5,0.5
0,10,6,3,0,77,117,0.5,0.5,0.5
0,20,0,0,0,77,117,1.0,1.0,1.0
0,20,0,1,0,77,117,1.0,1.0,1.0
0,20,0,2,0,77,117,1.0,1.0,1.0
0,20,0,3,0,77,117,1.0,1.0,1.0
0,20,1,0,0,77,117,1.0,1.0,1.0
0,20,1,1,0,77,117,1.0,1.0,1.0
0,20,1,2,0,77,117,1.0,1.0,1.0
0,20,1,3,0,77,117,1.0,1.0,1.0
0,20,2,0,0,77,117,1.0,1.0,1.0
0,20,2,1,0,77,117,1.0,1.0,1.0
0,20,2,2,0,77,117,1.0,1.0,1.0
0,20,2,3,0,77,117,1.0,1.0,1.0
0,20,3,0,0,77,117,1.0,1.0,1.0
0,20,3,1,0,77,117,1.0,1.0,1.0
0,20,3,2,0,77,117,1.0,1.0,1.0
0,20,3,3,0,77,117,1.0,1.0,1.0
0,20,4,0,0,77,117,1.0,1.0,1.0
0,20,4,1,0,77,117,1.0,1.0,1.0
0,20,4,2,0,77,117,1.0,1.0,1.0
0,20,4,3,0,77,117,1.0,1.0,1.0
0,20,5,0,0,77,117,0.5,0.5,0.5
0,20,5,1,0,77,117,0.5,0.5,0.5
0,20,5,2,0,77,117,0.625,0.625,0.625
0,20,5,3,0,77,117,0.5,0.5,0.5
0,20,6,0,0,77,117,0.5,0.5,0.5
0,20,6,1,0,77,117,0.5,0.5,0.5
0,20,6,2,0,77,117,0.5,0.5,0.5
0,20,6,3,0,77,117,0.5,0.5,0.5
0,30,0,0,0,77,117,1.0,1.0,1.0
0,30,0,1,0,77,117,1.0,1.0,1.0
0,30,0,2,0,77,117,1.0,1.0,1.0
0,30,0,3,0,77,117,1.0,1.0,1.0
0,30,1,0,0,77,117,1.0,1.0,1.0
0,30,1,1,0,77,117,1.0,1.0,1.0
0,30,1,2,0,77,117,1.0,1.0,1.0
0,30,1,3,0,77,117,1.0,1.0,1.0
0,30,2,0,0,77,117,1.0,1.0,1.0
0,30,2,1,0,77,117,1.0,1.0,1.0
0,30,2,2,0,77,117,1.0,1.0,1.0
0,30,2,3,0,77,117,1.0,1.0,1.0
0,30,3,0,0,77,117,1.0,1.0,1.0
0,30,3,1,0,77,117,1.0,1.0,1.0
0,30,3,2,0,77,117,1.0,1.0,1.0
0,30,3,3,0,77,117,1.0,1.0,1.0
0,30,4,0,0,77,117,1.0,1.0,1.0
0,30,4,1,0,77,117,1.0,1.0,1.0
0,30,4,2,0,77,117,1.0,1.0,1.0
0,30,4,3,0,77,117,1.0,1.0,1.0
0,30,5,0,0,77,117,0.5,0.5,0.5
0,30,5,1,0,77,117,0.5,0.5,0.5
0,30,5,2,0,77,117,0.625,0.625,0.625
0,30,5,3,0,77,117,0.5,0.5,0.5
0,30,6,0,0,77,117,0.5,0.5,0.5
0,30,6,1,0,77,117,0.5,0.5,0.5
0,30,6,2,0,77,117,0.5,0.5,0.5
0,30,6,3,0,77,117,0.5,0.5,0.5
0,40,0,0,0,77,117,1.0,1.0,1.0
0,40,0,1,0,77,117,1.0,1.0,1.0
0,40,0,2,0,77,117,1.0,1.0,1.0
0,40,0,3,0,77,117,1.0,1.0,1.0
0,40,1,0,0,77,117,1.0,1.0,1.0
0,40,1,1,0,77,117,1.0,1.0,1.0
0,40,1,2,0,77,117,1.0,1.0,1.0
0,40,1,3,0,77,117,1.0,1.0,1.0
0,40,2,0,0,77,117,1.0,1.0,1.0
0,40,2,1,0,77,117,1.0,1.0,1.0
0,40,2,2,0,77,117,1.0,1.0,1.0
0,40,2,3,0,77,117,1.0,1.0,1.0
0,40,3,0,0,77,117,1.0,1.0,1.0
0,40,3,1,0,77,117,1.0,1.0,1.0
0,40,3,2,0,77,117,1.0,1.0,1.0
0,40,3,3,0,77,117,1.0,1.0,1.0
0,40,4,0,0,77,117,1.0,1.0,1.0
0,40,4,1,0,77,117,1.0,1.0,1.0
0,40,4,2,0,77,117,1.0,1.0,1.0
0,40,4,3,0,77,117,1.0,1.0,1.0
0,40,5,0,0,77,117,0.5,0.5,0.5
0,40,5,1,0,77,117,0.5,0.5,0.5
0,40,5,2,0,77,117,0.625004,0.625,0.625
0,40,5,3,0,77,117,0.5,0.5,0.5
0,40,6,0,0,77,117,0.5,0.5,0.5
0,40,6,1,0,77,117,0.5,0.5,0.5
0,40,6,2,0,77,117,0.5,0.5,0.5
0,40,6,3,0,77,117,0.5,0.5,0.5
0,50,0,0,0,77,117,1.0,1.0,1.0
0,50,0,1,0,77,117,1.0,1.0,1.0
0,50,0,2,0,77,117,1.0,1.0,1.0
0,50,0,3,0,77,117,1.0,1.0,1.0
0,50,1,0,0,77,117,1.0,1.0,1.0
0,50,1,1,0,77,117,1.0,1.0,1.0
0,50,1,2,0,77,117,1.0,1.0,1.0
0,50,1,3,0,77,117,1.0,1.0,1.0
0,50,2,0,0,77,117,1.0,1.0,1.0
0,50,2,1,0,77,117,1.0,1.0,1.0
0,50,2,2,0,77,117,1.0,1.0,1.0
0,50,2,3,0,77,117,1.0,1.0,1.0
0,50,3,0,0,77,117,1.0,1.0,1.0
0,50,3,1,0,77,117,1.0,1.0,1.0
0,50,3,2,0,77,117,1.0,1.0,1.0
0,50,3,3,0,77,117,1.0,1.0,1.0
0,50,4,0,0,77,117,1.0,1.0,1.0
0,50,4,1,0,77,117,1.0,1.0,1.0
0,50,4,2,0,77,117,1.0,1.0,1.0
0,50,4,3,0,77,117,1.0,1.0,1.0
0,50,5,0,0,77,117,0.5,0.5,0.5
0,50,5,1,0,77,117,0.5,0.5,0.5
0,50,5,2,0,77,117,0.625,0.625,0.625
0,50,5,3,0,77,117,0.5,0.500117,0.5
0,50,6,0,0,77,117,0.5,0.5,0.625
0,50,6,1,0,77,117,0.5,0.5,0.5
0,50,6,2,0,77,117,0.5,0.5,0.5
0,50,6,3,0,77,117,0.5,0.5,0.5
0,60,0,0,0,77,117,1.0,1.0,1.0
0,60,0,1,0,77,117,1.0,1.0,1.0
0,60,0,2,0,77,117,1.0,1.0,1.0
0,60,0,3,0,77,117,1.0,1.0,1.0
0,60,1,0,0,77,117,1.0,1.0,1.0
0,60,1,1,0,77,117,1.0,1.0,1.0
0,60,1,2,0,77,117,1.0,1.0,1.0
0,60,1,3,0,77,117,1.0,1.0,1.0
0,60,2,0,0,77,117,1.0,1.0,1.0
0,60,2,1,0,77,117,1.0,1.0,1.0
0,60,2,2,0,77,117,1.0,1.0,1.0
0,60,2,3,0,77,117,1.0,1.0,1.0
0,60,3,0,0,77,117,1.0,1.0,1.0
0,60,3,1,0,77,117,1.0,1.0,1.0
0,60,3,2,0,77,117,1.0,1.0,1.0
0,60,3,3,0,77,117,1.0,1.0,1.0
0,60,4,0,0,77,117,1.0,1.0,1.0
0,60,4,1,0,77,117,1.0,1.0,1.0
0,60,4,2,0,77,117,1.0,1.0,1.0
0,60,4,3,0,77,117,1.0,1.0,1.0
0,60,5,0,0,77,117,0.5,0.5,0.5
0,60,5,1,0,77,117,0.5,0.5,0.5
0,60,5,2,0,77,117,0.71875,0.625001,0.625
0,60,5,3,0,77,117,0.5,0.5,0.5
0,60,6,0,0,77,117,0.5,0.5,0.5
0,60,6,1,0,77,117,0.5,0.5,0.5
0,60,6,2,0,77,117,0.5,0.5,0.5
0,60,6,3,0,77,117,0.5,0.5,0.5
0,0,0,0,0,194,198,0.5,0.5,0.5
0,0,0,1,0,194,198,0.5,0.5,0.5
0,0,0,2,0,194,198,0.5,0.5,0.5
0,0,0,3,0,194,198,0.5,0.5,0.5
0,0,1,0,0,194,198,0.5,0.5,0.5
0,0,1,1,0,194,198,0.5,0.5,0.5
0,0,1,2,0,194,198,0.5,0.5,0.5
0,0,1,3,0,194,198,0.5,0.5,0.5
0,0,2,0,0,194,198,0.5,0.5,0.5
0,0,2,1,0,194,198,0.5,0.625,0.5
0,0,2,2,0,194,198,0.5,0.5,0.5
0,0,2,3,0,194,198,0.5,0.5,0.5
0,0,3,0,0,194,198,0.5,0.5,0.5
0,0,3,1,0,194,198,0.5,0.5,0.5
0,0,3,2,0,194,198,0.5,0.5,0.5
0,0,3,3,0,194,198,0.5,0.5,0.5
0,0,4,0,0,194,198,0.5,0.5,0.5
0,0,4,1,0,194,198,0.5,0.5,0.5
0,0,4,2,0,194,198,0.5,0.5,0.5
0,0,4,3,0,194,198,0.5,0.5,0.5
0,0,5,0,0,194,198,0.5,0.5,0.5
0,0,5,1,0,194,198,0.5,0.5,0.5
0,0,5,2,0,194,198,0.5,0.5,0.5
0,0,5,3,0,194,198,0.5,0.5,0.5
0,0,6,0,0,194,198,0.5,0.5,0.5
0,0,6,1,0,194,198,0.5,0.5,0.5
0,0,6,2,0,194,198,0.5,0.5,0.5
0,0,6,3,0,194,198,0.5,0.5,0.5
0,10,0,0,0,194,198,1.0,1.0,1.0
0,10,0,1,0,194,198,1.0,1.0,1.0
0,10,0,2,0,194,198,1.0,1.0,1.0
0,10,0,3,0,194,198,1.0,1.0,1.0
0,10,1,0,0,194,198,1.0,1.0,1.0
0,10,1,1,0,194,198,1.0,1.0,1.0
0,10,1,2,0,194,198,1.0,1.0,1.0
0,10,1,3,0,194,198,1.0,1.0,1.0
0,10,2,0,0,194,198,1.0,1.0,1.0
0,10,2,1,0,194,198,1.0,1.0,1.0
0,10,2,2,0,194,198,1.0,1.0,1.0
0,10,2,3,0,194,198,1.0,1.0,1.0
0,10,3,0,0,194,198,1.0,1.0,1.0
0,10,3,1,0,194,198,1.0,1.0,1.0
0,10,3,2,0,194,198,1.0,1.0,1.0
0,10,3,3,0,194,198,1.0,1.0,1.0
0,10,4,0,0,194,198,1.0,1.0,1.0
0,10,4,1,0,194,198,1.0,1.0,1.0
0,10,4,2,0,194,198,1.0,1.0,1.0
0,10,4,3,0,194,198,1.0,1.0,1.0
0,10,5,0,0,194,198,0.5,0.5,0.5
0,10,5,1,0,194,198,0.5,0.5,0.500022
0,10,5,2,0,194,198,0.625,0.625,0.624939
0,10,5,3,0,194,198,0.5,0.5,0.5
0,10,6,0,0,194,198,0.5,0.5,0.5
0,10,6,1,0,194,198,0.5,0.5,0.5
0,10,6,2,0,194,198,0.5,0.5,0.5
0,10,6,3,0,194,198,0.5,0.5,0.5
0,20,0,0,0,194,198,1.0,1.0,1.0
0,20,0,1,0,194,198,1.0,1.0,1.0
0,20,0,2,0,194,198,1.0,1.0,1.0
0,20,0,3,0,194,198,1.0,1.0,1.0
0,20,1,0,0,194,198,1.0,1.0,1.0
0,20,1,1,0,194,198,1.0,1.0,1.0
0,20,1,2,0,194,198,1.0,1.0,1.0
0,20,1,3,0,194,198,1.0,1.0,1.0
0,20,2,0,0,194,198,1.0,1.0,1.0
0,20,2,1,0,194,198,1.0,1.0,1.0
0,20,2,2,0,194,198,1.0,1.0,1.0
0,20,2,3,0,194,198,1.0,1.0,1.0
0,20,3,0,0,194,198,1.0,1.0,1.0
0,20,3,1,0,194,198,1.0,1.0,1.0
0,20,3,2,0,194,198,1.0,1.0,1.0
0,20,3,3,0,194,198,1.0,1.0,1.0
0,20,4,0,0,194,198,1.0,1.0,1.0
0,20,4,1,0,194,198,1.0,1.0,1.0
0,20,4,2,0,194,198,1.0,1.0,1.0
0,20,4,3,0,194,198,1.0,1.0,1.0
0,20,5,0,0,194,198,0.5,0.5,0.5
0,20,5,1,0,194,198,0.5,0.5,0.5
0,20,5,2,0,194,198,0.625,0.625,0.625
0,20,5,3,0,194,198,0.625,0.5,0.5
0,20,6,0,0,194,198,0.5,0.5,0.5
0,20,6,1,0,194,198,0.5,0.5,0.5
0,20,6,2,0,194,198,0.5,0.5,0.5
0,20,6,3,0,194,198,0.5,0.5,0.5
0,30,0,0,0,194,198,1.0,1.0,1.0
0,30,0,1,0,194,198,1.0,1.0,1.0
0,30,0,2,0,194,198,1.0,1.0,1.0
0,30,0,3,0,194,198,1.0,1.0,1.0
0,30,1,0,0,194,198,1.0,1.0,1.0
0,30,1,1,0,194,198,1.0,1.0,1.0
0,30,1,2,0,194,198,1.0,1.0,1.0
0,30,1,3,0,194,198,1.0,1.0,1.0
0,30,2,0,0,194,198,1.0,1.0,1.0
0,30,2,1,0,194,198,1.0,1.0,1.0
0,30,2,2,0,194,198,1.0,1.0,1.0
0,30,2,3,0,194,198,1.0,1.0,1.0
0,30,3,0,0,194,198,1.0,1.0,1.0
0,30,3,1,0,194,198,1.0,1.0,1.0
0,30,3,2,0,194,198,1.0,1.0,1.0
0,30,3,3,0,194,198,1.0,1.0,1.0
0,30,4,0,0,194,198,1.0,1.0,1.0
0,30,4,1,0,194,198,1.0,1.0,1.0
0,30,4,2,0,194,198,1.0,1.0,1.0
0,30,4,3,0,194,198,1.0,1.0,1.0
0,30,5,0,0,194,198,0.5,0.5,0.5
0,30,5,1,0,194,198,0.5,0.5,0.5
0,30,5,2,0,194,198,0.625,0.625046,0.625
0,30,5,3,0,194,198,0.5,0.5,0.5
0,30,6,0,0,194,198,0.5,0.5,0.5
0,30,6,1,0,194,198,0.5,0.5,0.5
0,30,6,2,0,194,198,0.5,0.5,0.5
0,30,6,3,0,194,198,0.5,0.5,0.5
0,40,0,0,0,194,198,1.0,1.0,1.0
0,40,0,1,0,194,198,1.0,1.0,1.0
0,40,0,2,0,194,198,1.0,1.0,1.0
0,40,0,3,0,194,198,1.0,1.0,1.0
0,40,1,0,0,194,198,1.0,1.0,1.0
0,40,1,1,0,194,198,1.0,1.0,1.0
0,40,1,2,0,194,198,1.0,1.0,1.0
0,40,1,3,0,194,198,1.0,1.0,1.0
0,40,2,0,0,194,198,1.0,1.0,1.0
0,40,2,1,0,194,198,1.0,1.0,1.0
0,40,2,2,0,194,198,1.0,1.0,1.0
0,40,2,3,0,194,198,1.0,1.0,1.0
